Start of Interval (UTC-08:00),End of Interval (UTC-08:00),Average (in)
2023-07-01 00:00:00,2023-08-01 00:00:00,NaN
2023-08-01 00:00:00,2023-09-01 00:00:00,NaN
2023-09-01 00:00:00,2023-10-01 00:00:00,NaN
2023-10-01 00:00:00,2023-11-01 00:00:00,NaN
2023-11-01 00:00:00,2023-12-01 00:00:00,NaN
2023-12-01 00:00:00,2024-01-01 00:00:00,14.549466484268127
2024-01-01 00:00:00,2024-02-01 00:00:00,14.090540166204987
2024-02-01 00:00:00,2024-03-01 00:00:00,13.117299546142208
2024-03-01 00:00:00,2024-04-01 00:00:00,13.341107091172214
2024-04-01 00:00:00,2024-05-01 00:00:00,9.632871732026144
2024-05-01 00:00:00,2024-06-01 00:00:00,NaN
2024-06-01 00:00:00,2024-07-01 00:00:00,1.9032247634069401
2024-07-01 00:00:00,2024-08-01 00:00:00,NaN
2024-08-01 00:00:00,2024-09-01 00:00:00,NaN
2024-09-01 00:00:00,2024-10-01 00:00:00,NaN
2024-10-01 00:00:00,2024-11-01 00:00:00,NaN
2024-11-01 00:00:00,2024-12-01 00:00:00,NaN
2024-12-01 00:00:00,2025-01-01 00:00:00,NaN
2025-01-01 00:00:00,2025-02-01 00:00:00,7.65863
2025-02-01 00:00:00,2025-03-01 00:00:00,6.976919658119658
2025-03-01 00:00:00,2025-04-01 00:00:00,8.172236070381231
2025-04-01 00:00:00,2025-05-01 00:00:00,NaN
2025-05-01 00:00:00,2025-06-01 00:00:00,NaN
2025-06-01 00:00:00,2025-07-01 00:00:00,NaN
2025-07-01 00:00:00,2025-08-01 00:00:00,NaN
2025-08-01 00:00:00,2025-09-01 00:00:00,NaN
2025-09-01 00:00:00,2025-10-01 00:00:00,NaN
2025-10-01 00:00:00,2025-11-01 00:00:00,NaN
2025-11-01 00:00:00,2025-12-01 00:00:00,NaN
2025-12-01 00:00:00,2026-01-01 00:00:00,NaN
2026-01-01 00:00:00,2026-02-01 00:00:00,NaN
2026-02-01 00:00:00,2026-03-01 00:00:00,NaN
2026-03-01 00:00:00,2026-04-01 00:00:00,NaN
2026-04-01 00:00:00,2026-05-01 00:00:00,NaN
2026-05-01 00:00:00,2026-06-01 00:00:00,NaN
2026-06-01 00:00:00,2026-07-01 00:00:00,NaN
