Start of Interval (UTC-08:00),End of Interval (UTC-08:00),Average (°F)
2017-12-01 00:00:00,2018-01-01 00:00:00,30.81611559139785
2018-01-01 00:00:00,2018-02-01 00:00:00,27.864193548387096
2018-02-01 00:00:00,2018-03-01 00:00:00,27.44875
2018-03-01 00:00:00,2018-04-01 00:00:00,28.008172043010752
2018-04-01 00:00:00,2018-05-01 00:00:00,28.78697222222222
2018-05-01 00:00:00,2018-06-01 00:00:00,32.70611559139785
2018-06-01 00:00:00,2018-07-01 00:00:00,40.286347222222226
2018-07-01 00:00:00,2018-08-01 00:00:00,44.83399193548388
2018-08-01 00:00:00,2018-09-01 00:00:00,43.02857526881721
2018-09-01 00:00:00,2018-10-01 00:00:00,38.44059722222222
2018-10-01 00:00:00,2018-11-01 00:00:00,32.32947580645161
2018-11-01 00:00:00,2018-12-01 00:00:00,30.41
2018-12-01 00:00:00,2019-01-01 00:00:00,29.776935483870968
2019-01-01 00:00:00,2019-02-01 00:00:00,27.6594623655914
2019-02-01 00:00:00,2019-03-01 00:00:00,28.88388392857143
2019-03-01 00:00:00,2019-04-01 00:00:00,29.932755376344087
2019-04-01 00:00:00,2019-05-01 00:00:00,30.910958333333333
2019-05-01 00:00:00,2019-06-01 00:00:00,33.267620967741934
2019-06-01 00:00:00,2019-07-01 00:00:00,40.955083333333334
2019-07-01 00:00:00,2019-08-01 00:00:00,46.53755376344086
2019-08-01 00:00:00,2019-09-01 00:00:00,42.988077956989244
2019-09-01 00:00:00,2019-10-01 00:00:00,38.19266666666667
2019-10-01 00:00:00,2019-11-01 00:00:00,32.183212365591395
2019-11-01 00:00:00,2019-12-01 00:00:00,31.87011111111111
2019-12-01 00:00:00,2020-01-01 00:00:00,30.275120967741934
2020-01-01 00:00:00,2020-02-01 00:00:00,26.86118279569893
2020-02-01 00:00:00,2020-03-01 00:00:00,27.664066091954023
2020-03-01 00:00:00,2020-04-01 00:00:00,28.09508064516129
2020-04-01 00:00:00,2020-05-01 00:00:00,30.020736111111113
2020-05-01 00:00:00,2020-06-01 00:00:00,32.364099462365594
2020-06-01 00:00:00,2020-07-01 00:00:00,37.96647222222222
2020-07-01 00:00:00,2020-08-01 00:00:00,40.866766149163226
2020-08-01 00:00:00,2020-09-01 00:00:00,42.19467741935484
2020-09-01 00:00:00,2020-10-01 00:00:00,37.819694444444444
2020-10-01 00:00:00,2020-11-01 00:00:00,33.10545698924731
2020-11-01 00:00:00,2020-12-01 00:00:00,31.823499999999996
2020-12-01 00:00:00,2021-01-01 00:00:00,30.823790322580646
2021-01-01 00:00:00,2021-02-01 00:00:00,29.363252688172047
2021-02-01 00:00:00,2021-03-01 00:00:00,28.011904761904763
2021-03-01 00:00:00,2021-04-01 00:00:00,29.040940860215052
2021-04-01 00:00:00,2021-05-01 00:00:00,30.76873611111111
2021-05-01 00:00:00,2021-06-01 00:00:00,32.57095430107526
2021-06-01 00:00:00,2021-07-01 00:00:00,39.40516746163438
2021-07-01 00:00:00,2021-08-01 00:00:00,44.558077956989244
2021-08-01 00:00:00,2021-09-01 00:00:00,43.337809139784945
2021-09-01 00:00:00,2021-10-01 00:00:00,36.27930555555555
2021-10-01 00:00:00,2021-11-01 00:00:00,31.88771505376344
2021-11-01 00:00:00,2021-12-01 00:00:00,29.967541666666666
2021-12-01 00:00:00,2022-01-01 00:00:00,29.62736559139785
2022-01-01 00:00:00,2022-02-01 00:00:00,28.866895161290323
2022-02-01 00:00:00,2022-03-01 00:00:00,28.534479166666667
2022-03-01 00:00:00,2022-04-01 00:00:00,28.769327956989247
2022-04-01 00:00:00,2022-05-01 00:00:00,30.1255
2022-05-01 00:00:00,2022-06-01 00:00:00,31.87385752688172
2022-06-01 00:00:00,2022-07-01 00:00:00,38.70831944444444
2022-07-01 00:00:00,2022-08-01 00:00:00,41.6895564516129
2022-08-01 00:00:00,2022-09-01 00:00:00,41.12096774193548
2022-09-01 00:00:00,2022-10-01 00:00:00,36.969027777777775
2022-10-01 00:00:00,2022-11-01 00:00:00,32.42022849462366
2022-11-01 00:00:00,2022-12-01 00:00:00,31.536527777777778
2022-12-01 00:00:00,2023-01-01 00:00:00,31.072768817204302
2023-01-01 00:00:00,2023-02-01 00:00:00,30.648239247311828
2023-02-01 00:00:00,2023-03-01 00:00:00,30.609196428571423
2023-03-01 00:00:00,2023-04-01 00:00:00,30.480416666666667
2023-04-01 00:00:00,2023-05-01 00:00:00,30.924180555555555
2023-05-01 00:00:00,2023-06-01 00:00:00,32.06911290322581
2023-06-01 00:00:00,2023-07-01 00:00:00,38.53926174451498
2023-07-01 00:00:00,2023-08-01 00:00:00,47.1580376344086
2023-08-01 00:00:00,2023-09-01 00:00:00,46.76784946236559
2023-09-01 00:00:00,2023-10-01 00:00:00,36.75586111111111
2023-10-01 00:00:00,2023-11-01 00:00:00,31.84331989247312
2023-11-01 00:00:00,2023-12-01 00:00:00,31.598069444444445
2023-12-01 00:00:00,2024-01-01 00:00:00,30.715752688172042
2024-01-01 00:00:00,2024-02-01 00:00:00,28.696021505376343
2024-02-01 00:00:00,2024-03-01 00:00:00,28.177686781609196
2024-03-01 00:00:00,2024-04-01 00:00:00,27.86991935483871
2024-04-01 00:00:00,2024-05-01 00:00:00,30.800402777777776
2024-05-01 00:00:00,2024-06-01 00:00:00,34.259005376344085
2024-06-01 00:00:00,2024-07-01 00:00:00,43.11808333333333
2024-07-01 00:00:00,2024-08-01 00:00:00,45.84896088688197
2024-08-01 00:00:00,2024-09-01 00:00:00,43.79318548387097
2024-09-01 00:00:00,2024-10-01 00:00:00,38.07215277777778
2024-10-01 00:00:00,2024-11-01 00:00:00,31.750040322580645
2024-11-01 00:00:00,2024-12-01 00:00:00,30.973027777777776
2024-12-01 00:00:00,2025-01-01 00:00:00,30.366680107526882
2025-01-01 00:00:00,2025-02-01 00:00:00,28.63111559139785
2025-02-01 00:00:00,2025-03-01 00:00:00,25.6
2025-03-01 00:00:00,2025-04-01 00:00:00,25.979663978494624
2025-04-01 00:00:00,2025-05-01 00:00:00,30.40398611111111
2025-05-01 00:00:00,2025-06-01 00:00:00,33.753051075268814
2025-06-01 00:00:00,2025-07-01 00:00:00,41.85579166666667
2025-07-01 00:00:00,2025-08-01 00:00:00,44.9219623655914
2025-08-01 00:00:00,2025-09-01 00:00:00,43.61353494623656
2025-09-01 00:00:00,2025-10-01 00:00:00,37.836597222222224
2025-10-01 00:00:00,2025-11-01 00:00:00,32.66366935483871
2025-11-01 00:00:00,2025-12-01 00:00:00,31.48613888888889
2025-12-01 00:00:00,2026-01-01 00:00:00,29.634610215053762
2026-01-01 00:00:00,2026-02-01 00:00:00,27.629717741935483
2026-02-01 00:00:00,2026-03-01 00:00:00,28.17778273809524
2026-03-01 00:00:00,2026-04-01 00:00:00,26.446317204301074
2026-04-01 00:00:00,2026-05-01 00:00:00,29.27220833333333
2026-05-01 00:00:00,2026-06-01 00:00:00,32.07458333333334
2026-06-01 00:00:00,2026-07-01 00:00:00,NaN
